cidade,id_cidade,escola,id_escola,tipo_adm,has_biblio,has_sala_leitura,qt_salas_utilizadas,qt_bibliotecarios
Abreu e Lima,2600054,EM - CENTRO COMU E EDUC ISAAC MARTINS RODRIGUES,26106450,3,0,0,10,0
Abreu e Lima,2600054,EM - CENTRO COM EDUCACIONAL WILIBALDO DE FRANCA SEIXAS,26106477,3,0,1,6,0
Abreu e Lima,2600054,ESCOLA GENERAL ABREU E LIMA,26106582,2,0,0,9,0
Abreu e Lima,2600054,ESCOLA MARECHAL COSTA E SILVA,26106612,2,1,1,8,0
Abreu e Lima,2600054,EM - ESCOLA MUNICIPAL DE ENGENHO NOVO,26106647,3,0,1,6,0
Abreu e Lima,2600054,EM - ESCOLA MUNICIPAL PEDRO SALVIANO FILHO,26106655,3,0,0,4,0
Abreu e Lima,2600054,EM - ESC MUL SEBASTIAO GOMES DE MELO,26106671,3,0,0,3,0
Abreu e Lima,2600054,EM - ESCOLA MUNICIPAL JORGE GONCALVES FERREIRA,26106680,3,0,1,7,0
Abreu e Lima,2600054,ESCOLA ORFANATO ESTRELA DE BETHEL,26106698,2,1,1,6,0
Abreu e Lima,2600054,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO PASTOR AMARO DE SENA,26106701,2,1,1,21,2
Abreu e Lima,2600054,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E ENSINO MEDIO POLIVALENTE DE ABREU E LIMA,26106728,2,1,1,19,1
Abreu e Lima,2600054,EM - ESCOLA MUNICIPAL SEVERINA ESTELITA DOS SANTOS,26106809,3,0,0,2,0
Abreu e Lima,2600054,EM - ESCOLA JOSE SEVERINO DA SILVA,26106833,3,0,0,2,0
Abreu e Lima,2600054,EM - ESCOLA JOAQUINA MENDES DA SILVA,26106841,3,0,0,2,0
Abreu e Lima,2600054,EM - ESCOLA LEANDRO HENRIQUE BEZERRA,26106868,3,0,1,2,0
Abreu e Lima,2600054,ESCOLA DE REFERENCIA EM ENSINO MEDIO LUIZ RODOLFO DE ARAUJO JUNIOR,26106957,2,1,1,13,0
Abreu e Lima,2600054,EM - ESCOLA MUNICIPAL ANTONIO CORREIA DE MELO,26106981,3,0,0,6,0
Abreu e Lima,2600054,EM - ESCOLA MUL JERONIMO GADELHA A NETO,26107007,3,0,1,4,0
Abreu e Lima,2600054,EM - ESCOLA MUL AUTA DE ARAUJO J CARVALHO,26107023,3,0,0,11,0
Abreu e Lima,2600054,EM - ESCOLA MUNICIPAL MANOEL GONCALVES DA SILVA,26107031,3,0,0,3,0
Abreu e Lima,2600054,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO PROFESSORA AZINETE RAMOS CARNEIRO,26107074,2,1,1,11,0
Abreu e Lima,2600054,ESCOLA PROFESSORA ISAURA DE FRANCA,26107082,2,1,1,13,0
Abreu e Lima,2600054,ESCOLA DE ABREU E LIMA,26107104,2,1,1,6,0
Abreu e Lima,2600054,EM - ESCOLA JOSE ANTONIO DA SILVA,26107139,3,0,0,3,0
Abreu e Lima,2600054,EM - ESCOLAS REUNIDAS SANTA ROSA,26107147,3,0,0,4,0
Abreu e Lima,2600054,EMEF - GRUPO ESCOLA DOM CARLOS COELHO,26107163,3,0,0,5,0
Abreu e Lima,2600054,EM - ESCOLA MUNICIPAL EDUARDO BATISTA RIBEIRO,26136442,3,0,1,7,0
Abreu e Lima,2600054,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO STELA MARIA DOS SANTOS PINTO BARROS,26137149,2,1,1,17,1
Abreu e Lima,2600054,EM - ESCOLA MUNICIPAL IVAN MARTINS DA SILVA,26142686,3,0,0,3,0
Abreu e Lima,2600054,EM - ESCOLA SEVERINO RODRIGUES DA SILVA,26144972,3,0,0,2,0
Abreu e Lima,2600054,EM - CENTRO COMT PROF VANDA M DE SANTANA,26146240,3,0,0,11,0
Abreu e Lima,2600054,EM - ESCOLA MUNICIPAL JOSE JOAQUIM BEZERRA,26148285,3,0,0,2,0
Abreu e Lima,2600054,EM - ESCOLA MARIA DO CARMO DE SANTANA,26148293,3,0,0,2,0
Abreu e Lima,2600054,EM - CENTRO EDUCACIONAL E COMUNITARIO ANTAO SOARES VIANA,26157969,3,0,0,7,0
Abreu e Lima,2600054,EM - CENT EDUC COMUN FRANCISCO LOPES BEZERRA,26158140,3,1,1,3,0
Abreu e Lima,2600054,EM - CENTRO EDUC COMUNITARIO PROFA MARIA VIEIRA MULITERNO,26168731,3,0,0,3,0
Abreu e Lima,2600054,EM - ESCOLA MUNICIPAL EBERSON SANTOS DE MEIRELES,26170876,3,0,0,7,0
Abreu e Lima,2600054,EM - ESCOLA INTEGRAL DA VILA MILITAR,26174359,3,0,0,11,0
Abreu e Lima,2600054,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA VIEIRA MULITERNO,26178435,2,1,1,18,1
Abreu e Lima,2600054,EM - CECOM CARLOS PATRICIO DE LIMA,26179261,3,0,0,4,0
Abreu e Lima,2600054,EM - CECOM ROSA PEREIRA DA CRUZ,26179270,3,0,0,4,0
Abreu e Lima,2600054,ESCOLA MUNICIPAL PROFESSORA VALDECI DAMAZIO,26184150,3,0,1,11,0
Abreu e Lima,2600054,ESCOLA ESTADUAL IRMA DULCE,26186713,2,1,1,5,1
Abreu e Lima,2600054,IFPE - CAMPUS ABREU E LIMA,26187442,1,0,0,28,0
Abreu e Lima,2600054,ESCOLA TECNICA ESTADUAL PASTOR ISAAC MARTINS RODRIGUES,26189585,2,1,1,12,1
Abreu e Lima,2600054,CENTRO MUNICIPAL DE EDUCACAO INFANTIL PROFESSORA DAYSE RODRIGUES CHAVES,26192802,3,0,0,10,0
Abreu e Lima,2600054,EM - ESCOLA MUNICIPAL PROFESSOR JOSE FRANCISCO BARROS,26225638,3,0,0,10,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL CARMENCITA RAMOS CAVALCANTI,26129795,3,1,1,8,0
